"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Intracerebral haemorrhage in brain stem"	"I61.3"	10	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Intracerebral haemorrhage, unspecified"	"I61.9"	139	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	11	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Cerebral infarction, unspecified"	"I63.9"	51	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Stroke, not specified as haemorrhage or infarction"	"I64"	414	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Sequelae of cerebral infarction"	"I69.3"	13	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	97	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Mar., 1999"	"1999/03"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	89	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Intracerebral haemorrhage in brain stem"	"I61.3"	10	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Intracerebral haemorrhage, unspecified"	"I61.9"	104	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	33	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	10	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Cerebral infarction, unspecified"	"I63.9"	49	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Stroke, not specified as haemorrhage or infarction"	"I64"	403	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	85	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Apr., 1999"	"1999/04"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	79	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	41	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Intracerebral haemorrhage, unspecified"	"I61.9"	138	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	50	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Cerebral infarction, unspecified"	"I63.9"	38	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Stroke, not specified as haemorrhage or infarction"	"I64"	368	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Cerebrovascular disease, unspecified"	"I67.9"	10	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	81	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"May, 1999"	"1999/05"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	67	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	57	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Intracerebral haemorrhage, unspecified"	"I61.9"	108	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	41	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Cerebral infarction, unspecified"	"I63.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Stroke, not specified as haemorrhage or infarction"	"I64"	392	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	66	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jun., 1999"	"1999/06"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	61	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Intracerebral haemorrhage, unspecified"	"I61.9"	113	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	37	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Cerebral infarction, unspecified"	"I63.9"	32	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Stroke, not specified as haemorrhage or infarction"	"I64"	360	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Cerebrovascular disease, unspecified"	"I67.9"	12	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	76	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Jul., 1999"	"1999/07"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	68	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	45	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Intracerebral haemorrhage, unspecified"	"I61.9"	126	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	28	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Cerebral infarction, unspecified"	"I63.9"	52	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Stroke, not specified as haemorrhage or infarction"	"I64"	377	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	76	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Aug., 1999"	"1999/08"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	75	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	38	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Intracerebral haemorrhage, unspecified"	"I61.9"	112	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	27	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Cerebral infarction, unspecified"	"I63.9"	37	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Stroke, not specified as haemorrhage or infarction"	"I64"	356	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	70	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Sep., 1999"	"1999/09"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	83	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Subarachnoid haemorrhage from intracranial artery, unspecified"	"I60.7"	14	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	55	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Intracerebral haemorrhage, unspecified"	"I61.9"	113	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	43	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Cerebral infarction, unspecified"	"I63.9"	53	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Stroke, not specified as haemorrhage or infarction"	"I64"	350	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Cerebrovascular disease, unspecified"	"I67.9"	14	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	75	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	61	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	46	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Intracerebral haemorrhage, unspecified"	"I61.9"	128	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	45	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Cerebral infarction, unspecified"	"I63.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Stroke, not specified as haemorrhage or infarction"	"I64"	421	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	80	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	69	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Intracerebral haemorrhage, unspecified"	"I61.9"	150	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	45	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	12	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Cerebral infarction, unspecified"	"I63.9"	45	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Stroke, not specified as haemorrhage or infarction"	"I64"	511	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Cerebrovascular disease, unspecified"	"I67.9"	16	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Sequelae of cerebral infarction"	"I69.3"	10	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	123	Not Applicable	Not Applicable
	"California"	"06"	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	82	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	55	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	128	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	53	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Cerebral infarction, unspecified"	"I63.9"	55	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	570	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	128	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	74	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	46	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Intracerebral haemorrhage, unspecified"	"I61.9"	119	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	50	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Cerebral infarction, unspecified"	"I63.9"	43	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Stroke, not specified as haemorrhage or infarction"	"I64"	432	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	79	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	59	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	41	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Intracerebral haemorrhage in brain stem"	"I61.3"	11	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Intracerebral haemorrhage, unspecified"	"I61.9"	132	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	41	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	22	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Cerebral infarction, unspecified"	"I63.9"	58	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Stroke, not specified as haemorrhage or infarction"	"I64"	408	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Cerebrovascular disease, unspecified"	"I67.9"	16	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	91	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	89	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	45	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Intracerebral haemorrhage, unspecified"	"I61.9"	107	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	48	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	11	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Cerebral infarction, unspecified"	"I63.9"	47	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Stroke, not specified as haemorrhage or infarction"	"I64"	386	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	88	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	55	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	40	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Intracerebral haemorrhage, unspecified"	"I61.9"	119	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	33	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Cerebral infarction, unspecified"	"I63.9"	50	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Stroke, not specified as haemorrhage or infarction"	"I64"	397	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	87	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"May, 2000"	"2000/05"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	73	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	27	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Intracerebral haemorrhage, unspecified"	"I61.9"	115	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	47	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Cerebral infarction, unspecified"	"I63.9"	41	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Stroke, not specified as haemorrhage or infarction"	"I64"	385	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Cerebrovascular disease, unspecified"	"I67.9"	11	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	84	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	72	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	44	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Intracerebral haemorrhage, unspecified"	"I61.9"	102	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	35	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Cerebral infarction, unspecified"	"I63.9"	61	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Stroke, not specified as haemorrhage or infarction"	"I64"	409	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Cerebrovascular disease, unspecified"	"I67.9"	11	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Sequelae of cerebral infarction"	"I69.3"	10	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	83	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	59	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	44	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Intracerebral haemorrhage, unspecified"	"I61.9"	114	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	36	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Cerebral infarction, unspecified"	"I63.9"	42	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Stroke, not specified as haemorrhage or infarction"	"I64"	376	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	86	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	80	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	43	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Intracerebral haemorrhage, unspecified"	"I61.9"	105	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	49	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Cerebral infarction, unspecified"	"I63.9"	29	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Stroke, not specified as haemorrhage or infarction"	"I64"	387	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	85	Not Applicable	Not Applicable
